,date,open_p,high_p,low_p,close_p,prd_vlm,open_int
429,2018-02-21,6965.0,7062.25,6918.0,6937.25,440206,223258
430,2018-02-20,6960.0,7020.5,6900.0,6967.25,461892,224273
431,2018-02-16,6993.0,7036.5,6938.75,6963.5,445962,223828
432,2018-02-15,6857.75,7004.25,6846.5,6992.75,458423,245511
433,2018-02-14,6736.25,6869.5,6633.0,6863.75,482298,231531
434,2018-02-13,6706.5,6747.75,6647.5,6737.25,382334,224590
435,2018-02-12,6611.25,6744.25,6591.0,6708.5,406083,224108
436,2018-02-09,6504.75,6632.25,6340.75,6594.5,787495,229150
437,2018-02-08,6718.75,6795.25,6477.75,6494.0,640585,243392
438,2018-02-07,6814.75,6894.5,6708.75,6732.5,593446,233873
439,2018-02-06,6649.75,6854.25,6437.0,6830.5,813419,242937
440,2018-02-05,6929.0,6990.25,6564.5,6606.0,931677,258724
441,2018-02-02,7130.75,7140.25,6929.0,6932.5,642482,260857
442,2018-02-01,7149.75,7164.5,7061.5,7075.25,492861,258690
443,2018-01-31,7115.0,7167.75,7098.25,7139.25,413798,256844
444,2018-01-30,7168.25,7183.25,7079.5,7118.25,524079,257403
445,2018-01-29,7206.75,7224.0,7156.75,7169.25,407157,259588
446,2018-01-26,7114.75,7211.25,7111.0,7207.0,326274,262446
447,2018-01-25,7110.25,7164.0,7078.75,7108.25,415464,268318
448,2018-01-24,7133.25,7181.0,7065.0,7108.0,526387,265378
449,2018-01-23,7106.5,7158.0,7096.5,7142.5,336204,254208
450,2018-01-22,7007.5,7118.0,7001.0,7107.75,262762,250248
451,2018-01-19,6993.25,7033.75,6978.25,7022.5,324203,267166
452,2018-01-18,6994.75,7014.75,6972.75,6989.75,314511,266427
453,2018-01-17,6939.5,7011.0,6921.5,7000.5,357653,265543
454,2018-01-16,6958.25,7022.5,6906.0,6939.0,516270,272679
455,2018-01-12,6902.25,6954.5,6880.0,6952.0,288871,263288
456,2018-01-11,6853.25,6905.5,6841.0,6903.25,228872,261698
457,2018-01-10,6856.5,6863.5,6805.0,6854.0,320261,264095
458,2018-01-09,6864.0,6884.0,6844.0,6863.75,272445,258186
459,2018-01-08,6844.5,6867.5,6830.0,6864.75,198494,261079
460,2018-01-05,6784.75,6847.75,6776.5,6844.5,214944,262044
461,2018-01-04,6760.5,6794.25,6756.75,6780.25,254577,267029
462,2018-01-03,6690.0,6768.0,6688.0,6761.25,223243,272136
463,2018-01-02,6581.75,6700.0,6574.5,6691.5,259593,276028
464,2017-12-29,6621.25,6644.5,6560.0,6585.5,210114,279417
465,2017-12-28,6629.0,6654.25,6619.0,6623.0,138254,277928
466,2017-12-27,6638.0,6652.25,6618.75,6630.75,158481,281887
467,2017-12-26,6659.25,6668.75,6609.0,6636.75,135130,286956
468,2017-12-22,6666.5,6678.5,6644.25,6660.5,154620,286473
469,2017-12-21,6663.5,6697.5,6652.75,6669.0,211561,283648
470,2017-12-20,6680.75,6705.75,6640.0,6665.75,276115,287844
471,2017-12-19,6711.75,6722.5,6656.5,6677.5,272966,275308
472,2017-12-18,6674.75,6718.75,6674.25,6712.0,220351,271562
473,2017-12-15,6580.5,6679.5,6577.5,6675.25,288903,270627
474,2017-12-14,6594.0,6620.5,6579.25,6585.75,292712,263838
475,2017-12-13,6581.0,6614.5,6559.75,6594.0,324688,234828
476,2017-12-12,6599.25,6603.0,6566.75,6579.75,296047,205993
477,2017-12-11,6540.25,6604.5,6535.75,6592.75,253958,157263
478,2017-12-08,6521.25,6574.75,6515.75,6535.25,244209,100813
479,2017-12-07,6493.0,6530.75,6484.0,6518.5,72016,42310
480,2017-12-06,6464.5,6502.5,6428.0,6488.5,363675,289542
481,2017-12-05,6451.0,6535.25,6427.25,6467.25,443788,295910
482,2017-12-04,6566.5,6587.25,6446.25,6460.75,520744,309979
483,2017-12-01,6549.25,6564.5,6441.5,6541.75,608005,292953
484,2017-11-30,6502.0,6573.0,6484.5,6564.5,457769,297222
485,2017-11-29,6619.0,6624.0,6478.5,6501.0,625761,296362
